    Time(yr)   SMco2_tot(kg)   AQco2_tot(kg)
  0.0000E+00      0.0000E+00      0.0000E+00
  0.3422E-04      0.0000E+00      0.1829E-03
  0.5704E-04      0.0000E+00      0.1820E-03
  0.6845E-04      0.0000E+00      0.1816E-03
  0.1141E-03      0.0000E+00      0.1801E-03
  0.1711E-03      0.0000E+00      0.1784E-03
  0.2852E-03      0.0000E+00      0.1758E-03
  0.3422E-03      0.0000E+00      0.1748E-03
  0.5704E-03      0.0000E+00      0.1718E-03
  0.6845E-03      0.0000E+00      0.1709E-03
  0.1141E-02      0.0000E+00      0.1692E-03
  0.1711E-02      0.0000E+00      0.1690E-03
  0.2852E-02      0.0000E+00      0.1702E-03
  0.3422E-02      0.0000E+00      0.1708E-03
  0.4563E-02      0.0000E+00      0.1720E-03
  0.5476E-02      0.0000E+00      0.1728E-03
  0.5704E-02      0.0000E+00      0.1731E-03
  0.8214E-02      0.0000E+00      0.1753E-03
  0.9126E-02      0.0000E+00      0.1760E-03
  0.1232E-01      0.0000E+00      0.1783E-03
  0.1369E-01      0.0000E+00      0.1791E-03
  0.1643E-01      0.0000E+00      0.1804E-03
  0.2053E-01      0.0000E+00      0.1820E-03
  0.2053E-01      0.0000E+00      0.1820E-03
  0.2053E-01      0.0000E+00      0.1820E-03
  0.2464E-01      0.0000E+00      0.1834E-03
  0.2738E-01      0.0000E+00      0.1841E-03
  0.3422E-01      0.0000E+00      0.1858E-03
  0.4107E-01      0.0000E+00      0.1874E-03
