
          ---- Aqueous concentrations vs. grid blocks at specified times ----

 
   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium
 
VARIABLES =X,       Y,      Z,      Sg,     Sl,         T,        pH,   Density_L       t_h2o      ,t_ca+2     ,t_mg+2     ,t_na+      ,t_k+       ,t_fe+2     ,t_sio2(aq) ,t_hco3-    ,t_so4-2    ,t_alo2-    ,t_cl-      ,
ZONE T= "0.000000E+00 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
ZONE T= "0.342239E-04 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.3682E+01  0.9648E+00  0.5259E+02  0.1962E+00  0.4269E-01  0.1811E+01  0.1509E-01  0.9425E-10  0.8677E-12  0.9759E+00  0.8498E-02  0.1016E-11  0.2286E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7020E+01  0.9554E+00  0.5303E+02  0.1981E+00  0.4318E-01  0.1745E+01  0.1528E-01  0.1726E-17  0.8791E-12  0.4585E-02  0.7989E-02  0.1030E-11  0.2226E+01
ZONE T= "0.570398E-04 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.3699E+01  0.9648E+00  0.5259E+02  0.1964E+00  0.4273E-01  0.1868E+01  0.1509E-01  0.9422E-10  0.8677E-12  0.9711E+00  0.8674E-02  0.1016E-11  0.2342E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7020E+01  0.9554E+00  0.5303E+02  0.1981E+00  0.4318E-01  0.1745E+01  0.1528E-01  0.1675E-17  0.8791E-12  0.4585E-02  0.7989E-02  0.1030E-11  0.2226E+01
ZONE T= "0.684478E-04 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.3707E+01  0.9648E+00  0.5259E+02  0.1965E+00  0.4275E-01  0.1894E+01  0.1509E-01  0.9421E-10  0.8677E-12  0.9689E+00  0.8674E-02  0.1016E-11  0.2369E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7020E+01  0.9554E+00  0.5303E+02  0.1981E+00  0.4318E-01  0.1745E+01  0.1528E-01  0.1669E-17  0.8791E-12  0.4585E-02  0.7989E-02  0.1030E-11  0.2226E+01
ZONE T= "0.114080E-03 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.3737E+01  0.9648E+00  0.5260E+02  0.1965E+00  0.4284E-01  0.1996E+01  0.1509E-01  0.9413E-10  0.8677E-12  0.9607E+00  0.8674E-02  0.1016E-11  0.2471E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7020E+01  0.9554E+00  0.5303E+02  0.1981E+00  0.4318E-01  0.1745E+01  0.1528E-01  0.1667E-17  0.8791E-12  0.4585E-02  0.7989E-02  0.1030E-11  0.2226E+01
ZONE T= "0.171119E-03 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.3772E+01  0.9648E+00  0.5261E+02  0.1967E+00  0.4295E-01  0.2112E+01  0.1509E-01  0.9401E-10  0.8677E-12  0.9518E+00  0.8674E-02  0.1016E-11  0.2586E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7020E+01  0.9554E+00  0.5303E+02  0.1981E+00  0.4318E-01  0.1745E+01  0.1528E-01  0.1667E-17  0.8791E-12  0.4585E-02  0.7989E-02  0.1030E-11  0.2226E+01
ZONE T= "0.285199E-03 yr"  F=POINT
      0.017      0.017    -0.062   0.948   0.052  0.1200E+03  0.3833E+01  0.9648E+00  0.5263E+02  0.1969E+00  0.4315E-01  0.2304E+01  0.1508E-01  0.9367E-10  0.8677E-12  0.9378E+00  0.8673E-02  0.1016E-11  0.2778E+01
      0.017      0.017    -0.013   0.000   1.000  0.1200E+03  0.7020E+01  0.9554E+00  0.5303E+02  0.1981E+00  0.4317E-01  0.1745E+01  0.1528E-01  0.1667E-17  0.8791E-12  0.4585E-02  0.7989E-02  0.1030E-11  0.2226E+01
ZONE T= "0.342239E-03 yr"  F=POINT
