
          ----Time evolution at specified elements----

 
   Unit: 
    - Aqueous species: Total concencentrations in mol/L     
    - Component in dry nodes in mol/L medium
    - SMco2: Total CO2 sequstered in mineral phases in  kg/m**3 medium
    - Permeability in  m**2
    - Minerals: Changes of abundance in volume fraction      
    - Gas: Partial pressure (bar)
 
ELEM    Time(yr)        Sg         Sl      T(C)     pH       SMco2     Porosity    Perm(m^2)  t_h2o       t_ca+2      t_mg+2      t_na+       t_k+        t_fe+2      t_sio2(aq)  t_hco3-     t_so4-2     t_alo2-     t_cl-       anhydrite   halite      calcite     magnesite   quartz      dolomite-2  kaolinite   siderite-2  ankerite-2  pyrite-2    dawsonite   illite      oligoclase  smectite-na k-feldspar  chlorite    hematite    smectite-ca albite~low  co2(g)      chg.bal.(eq
    1 0.000000E+00 0.9484E+00 0.5160E-01 120.000   7.019  0.0000E+00  0.9700E+00  0.1000E-16  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.5492E-01  0.0000E+00
    1 0.342239E-04 0.9484E+00 0.5160E-01 120.000   3.682 -0.3243E-03  0.9701E+00  0.1000E-16  0.5259E+02  0.1962E+00  0.4269E-01  0.1811E+01  0.1509E-01  0.9425E-10  0.8677E-12  0.9759E+00  0.8498E-02  0.1016E-11  0.2286E+01  0.4144E-06 -0.1228E-03 -0.1468E-07  0.0000E+00  0.0000E+00 -0.2277E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2402E-16  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.570398E-04 0.9484E+00 0.5160E-01 120.000   3.699 -0.5360E-03  0.9702E+00  0.1001E-16  0.5259E+02  0.1964E+00  0.4273E-01  0.1868E+01  0.1509E-01  0.9422E-10  0.8677E-12  0.9711E+00  0.8674E-02  0.1016E-11  0.2342E+01  0.0000E+00 -0.2007E-03 -0.2404E-07  0.0000E+00  0.0000E+00 -0.3766E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.4393E-16  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.684478E-04 0.9484E+00 0.5160E-01 120.000   3.707 -0.6412E-03  0.9702E+00  0.1001E-16  0.5259E+02  0.1965E+00  0.4275E-01  0.1894E+01  0.1509E-01  0.9421E-10  0.8677E-12  0.9689E+00  0.8674E-02  0.1016E-11  0.2369E+01  0.0000E+00 -0.2378E-03 -0.2865E-07  0.0000E+00  0.0000E+00 -0.4506E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.5459E-16  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.114080E-03 0.9484E+00 0.5161E-01 120.000   3.737 -0.1054E-02  0.9704E+00  0.1001E-16  0.5260E+02  0.1965E+00  0.4284E-01  0.1996E+01  0.1509E-01  0.9413E-10  0.8677E-12  0.9607E+00  0.8674E-02  0.1016E-11  0.2471E+01  0.0000E+00 -0.3788E-03 -0.4639E-07  0.0000E+00  0.0000E+00 -0.7416E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1063E-15  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.171119E-03 0.9484E+00 0.5161E-01 120.000   3.772 -0.1556E-02  0.9705E+00  0.1002E-16  0.5261E+02  0.1967E+00  0.4295E-01  0.2112E+01  0.1509E-01  0.9401E-10  0.8677E-12  0.9518E+00  0.8674E-02  0.1016E-11  0.2586E+01  0.0000E+00 -0.5390E-03 -0.6723E-07  0.0000E+00  0.0000E+00 -0.1096E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1935E-15  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.285199E-03 0.9484E+00 0.5162E-01 120.000   3.833 -0.2524E-02  0.9708E+00  0.1002E-16  0.5263E+02  0.1969E+00  0.4315E-01  0.2304E+01  0.1508E-01  0.9367E-10  0.8677E-12  0.9378E+00  0.8673E-02  0.1016E-11  0.2778E+01  0.0000E+00 -0.8049E-03 -0.1058E-06  0.0000E+00  0.0000E+00 -0.1780E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.4505E-15  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.342239E-03 0.9484E+00 0.5162E-01 120.000   3.859 -0.2992E-02  0.9709E+00  0.1003E-16  0.5263E+02  0.1970E+00  0.4325E-01  0.2385E+01  0.1508E-01  0.9343E-10  0.8676E-12  0.9323E+00  0.8673E-02  0.1016E-11  0.2859E+01  0.0000E+00 -0.9166E-03 -0.1236E-06  0.0000E+00  0.0000E+00 -0.2112E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.6323E-15  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.570398E-03 0.9484E+00 0.5164E-01 120.000   3.948 -0.4774E-02  0.9713E+00  0.1004E-16  0.5265E+02  0.1974E+00  0.4364E-01  0.2634E+01  0.1508E-01  0.9181E-10  0.8676E-12  0.9162E+00  0.8673E-02  0.1016E-11  0.3108E+01  0.0000E+00 -0.1263E-02 -0.1875E-06  0.0000E+00  0.0000E+00 -0.3377E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1867E-14  0.0000E+00  0.0000E+00  0.2450E+03 -0.3204E-02
    1 0.684478E-03 0.9484E+00 0.5164E-01 120.000   3.985 -0.5629E-02  0.9714E+00  0.1004E-16  0.5265E+02  0.1976E+00  0.4382E-01  0.2717E+01  0.1508E-01  0.9057E-10  0.8676E-12  0.9114E+00  0.8672E-02  0.1016E-11  0.3191E+01  0.0000E+00 -0.1377E-02 -0.2165E-06  0.0000E+00  0.0000E+00 -0.3986E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.2812E-14  0.0000E+00  0.0000E+00  0.2449E+03 -0.3204E-02
